cmorb,risk_group
101351. Pulmonary embolism,Acquired Comorbidity
101400. Secondary systemic hypertension,Acquired Comorbidity
101401. Systemic hypertension,Acquired Comorbidity
101402. Primary (essential) systemic hypertension,Acquired Comorbidity
101404. Systemic hypertension due to aortic arch obstruction,Acquired Comorbidity
"101501. Persistent pulmonary hypertension of the newborn (PFC),",Acquired Comorbidity
101505. Necrotising enterocolitis,Acquired Comorbidity
101512. Meconium aspiration,Acquired Comorbidity
102006. Pre-procedural coagulation disorder,Acquired Comorbidity
102007. Pre-procedural renal failure,Acquired Comorbidity
102008. Pre-procedural renal failure requiring dialysis,Acquired Comorbidity
102009. Pre-procedural septicaemia,Acquired Comorbidity
102012. Pre-procedural neurological impairment,Acquired Comorbidity
102013. Preprocedural cerebral abnormality on imaging,Acquired Comorbidity
102017. Pre-procedural tracheostomy,Acquired Comorbidity
102018. Preprocedural seizures,Acquired Comorbidity
102037. Preprocedural respiratory syncytial virus (RSV) infection,Acquired Comorbidity
102038. Preprocedural necrotising enterocolitis: treated medically,Acquired Comorbidity
102039. Preprocedural necrotising enterocolitis: treated surgically,Acquired Comorbidity
140305. Psychomotor developmental delay,Acquired Comorbidity
140340. Brain Abcess,Acquired Comorbidity
140342. Cerebrovascular accident (stroke),Acquired Comorbidity
140372. Anoxic-ischaemic encephalopathy,Acquired Comorbidity
140375. Hyperthyroidism,Acquired Comorbidity
140390. Diabetes mellitus,Acquired Comorbidity
140494. Diabetes mellitus: requiring insulin,Acquired Comorbidity
140565. Meningitis,Acquired Comorbidity
158210. Kidney failure,Acquired Comorbidity
160111. Empyema,Acquired Comorbidity
160302. Lower respiratory tract infection,Acquired Comorbidity
160305. Lung disease,Acquired Comorbidity
160310. Asthma,Acquired Comorbidity
160800. Acquired bronchial disease,Acquired Comorbidity
"160900. Airway disease,",Acquired Comorbidity
161300. Diaphragm disorder: acquired,Acquired Comorbidity
"161320. Diaphragm paralysis,",Acquired Comorbidity
162010. Oesophageal disorder,Acquired Comorbidity
070001. Ventricular dyssynchrony,Additional Cardiac Risk Factors
070110. Arrhythmogenic right ventricular cardiomyopathy,Additional Cardiac Risk Factors
070111. Right ventricular dysfunction,Additional Cardiac Risk Factors
070610. Left ventricular dysfunction,Additional Cardiac Risk Factors
070850. Ventricular myocardial noncompaction cardiomyopathy,Additional Cardiac Risk Factors
100701. Infectious myocarditis,Additional Cardiac Risk Factors
100703. Viral myocarditis,Additional Cardiac Risk Factors
100705. Drug induced heart muscle disease,Additional Cardiac Risk Factors
100708. Trypanosomal myocarditis (Chagas' disease),Additional Cardiac Risk Factors
100740. Myocardial failure in end stage congenital heart disease,Additional Cardiac Risk Factors
100742. Heart muscle disease in cardiac rejection,Additional Cardiac Risk Factors
100761. Nutritional heart muscle disease,Additional Cardiac Risk Factors
100771. Heart muscle disease in infant of diabetic mother,Additional Cardiac Risk Factors
100781. Heart muscle disease in collagen vascular/ connective tissue disorder,Additional Cardiac Risk Factors
100790. Myocarditis,Additional Cardiac Risk Factors
100930. Ischaemic heart disease,Additional Cardiac Risk Factors
101001. Cardiomyopathy,Additional Cardiac Risk Factors
101010. Restrictive cardiomyopathy,Additional Cardiac Risk Factors
101011. Idiopathic restrictive cardiomyopathy,Additional Cardiac Risk Factors
101012. Endocardial fibroelastosis,Additional Cardiac Risk Factors
101013. Infiltrative cardiomyopathy,Additional Cardiac Risk Factors
101020. Hypertrophic cardiomyopathy,Additional Cardiac Risk Factors
