name,terminology,code,term
Diagnosis,IPCCC,010100,Normal heart
Diagnosis,IPCCC,010101,Tetralogy of Fallot
Diagnosis,IPCCC,010102,"Transposition of the great arteries with concordant atrioventricular connections and intact ventricular septum,"
Diagnosis,IPCCC,010103,Congenitally corrected transposition of great arteries (discordant atrioventricular & ventriculo-arterial connections)
Diagnosis,IPCCC,010104,Double outlet right ventricle
Diagnosis,IPCCC,010106,Pulmonary atresia + ventricular septal defect (VSD) (including Fallot type)
Diagnosis,IPCCC,010107,Pulmonary atresia with intact ventricular septum
Diagnosis,IPCCC,010109,Hypoplastic left heart syndrome
Diagnosis,IPCCC,010110,Transposition of the great arteries with concordant atrioventricular connections and ventricular septal defect
Diagnosis,IPCCC,010114,Double inlet atrioventricular connection (double inlet ventricle)
Diagnosis,IPCCC,010116,Partial anomalous pulmonary venous connection of Scimitar type
Diagnosis,IPCCC,010117,"Double outlet right ventricle with subaortic or doubly committed ventricular septal defect and pulmonary stenosis, Fallot type"
Diagnosis,IPCCC,010118,"Double outlet right ventricle with subpulmonary ventricular septal defect, transposition type"
Diagnosis,IPCCC,010119,Double outlet right ventricle with non-committed ventricular septal defect
Diagnosis,IPCCC,010120,"Atrioventricular septal defect and tetralogy of Fallot,"
Diagnosis,IPCCC,010122,Functionally univentricular heart
Diagnosis,IPCCC,010124,Double outlet right ventricle with intact ventricular septum
Diagnosis,IPCCC,010125,Pulmonary atresia + ventricular septal defect (VSD) + systemic-to-pulmonary collateral artery(ies) (MAPCA(s))
Diagnosis,IPCCC,010126,"Tetralogy of Fallot with pulmonary atresia,"
Diagnosis,IPCCC,010133,Left heart obstruction at multiple sites (including Shone syndrome)
Diagnosis,IPCCC,010139,Cardiac abnormality
Diagnosis,IPCCC,010140,"Double outlet right ventricle with subaortic or doubly committed ventricular septal defect without pulmonary stenosis, ventricular septal defect type"
Diagnosis,IPCCC,010157,"Tetralogy of Fallot with pulmonary atresia and systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),"
Diagnosis,IPCCC,010159,Structural developmental anomaly of heart and-or great vessels
Diagnosis,IPCCC,010160,Vascular abnormality
Diagnosis,IPCCC,010161,Aneurysm
Diagnosis,IPCCC,010300,Usual atrial arrangement (atrial situs solitus)
Diagnosis,IPCCC,010306,Abnormal atrial arrangement
Diagnosis,IPCCC,010309,Congenital anomaly of an atrioventricular and-or ventriculo-arterial connection(s)
Diagnosis,IPCCC,010310,"Normal atrial arrangement (situs), atrioventricular & ventriculo-arterial connections"
Diagnosis,IPCCC,010400,Concordant atrioventricular connections
Diagnosis,IPCCC,010401,Discordant atrioventricular connections
Diagnosis,IPCCC,010403,Double inlet right ventricle
Diagnosis,IPCCC,010404,Double inlet left ventricle
Diagnosis,IPCCC,010405,Double inlet to solitary ventricle of indeterminate morphology
Diagnosis,IPCCC,010500,Concordant ventriculo-arterial connections
Diagnosis,IPCCC,010501,Transposition of great arteries (discordant ventriculo-arterial connections) (TGA)
Diagnosis,IPCCC,010503,Double outlet left ventricle
Diagnosis,IPCCC,010510,Concordant VA connections with parallel great arteries (anatomically corrected malposition)
Diagnosis,IPCCC,020101,Extrathoracic heart (ectopia cordis)
Diagnosis,IPCCC,020102,Dextrocardia: heart predominantly in right hemithorax
Diagnosis,IPCCC,020103,Laevocardia: heart predominantly in left hemithorax
Diagnosis,IPCCC,020104,Midline heart (mesocardia)
Diagnosis,IPCCC,020109,Anomalous position-orientation of heart
Diagnosis,IPCCC,020301,Right hand pattern ventricular topology (D loop)
Diagnosis,IPCCC,020302,Left hand pattern ventricular topology (L loop)
Diagnosis,IPCCC,020303,Crisscross heart (twisted atrioventricular connections)
Diagnosis,IPCCC,020305,Solitary ventricle of indeterminate morphology
Diagnosis,IPCCC,020400,Superior-inferior ('upstairs-downstairs') ventricular relationship
Diagnosis,IPCCC,020412,Abnormal ventricular relationships
Diagnosis,IPCCC,020612,Abnormal relationship of great arterial roots
Diagnosis,IPCCC,020704,Abnormal position or relationship of great vessels
Diagnosis,IPCCC,030102,Visceral heterotaxy (abnormal arrangement thoraco-abdominal organs)
Diagnosis,IPCCC,030103,Total mirror imagery (situs inversus)
Diagnosis,IPCCC,030104,Right isomerism
Diagnosis,IPCCC,030105,Left isomerism
Diagnosis,IPCCC,030109,Position or morphology of thoraco-abdominal organs abnormal
Diagnosis,IPCCC,030113,Congenital anomaly of position and-or spatial relationships of thoraco-abdominal organs
Diagnosis,IPCCC,030223,"Scimitar syndrome,"
Diagnosis,IPCCC,040006,Systemic venovenous collateral(s)
Diagnosis,IPCCC,040007,"Congenital anomaly of mediastinal vein(s),"
Diagnosis,IPCCC,040100,Superior caval vein (SVC) abnormality
Diagnosis,IPCCC,040101,Left superior caval vein (SVC) to coronary sinus
Diagnosis,IPCCC,040102,Left superior caval vein (SVC) to left-sided atrium
Diagnosis,IPCCC,040105,Absent right superior caval vein (SVC)
Diagnosis,IPCCC,040109,Congenital anomaly of superior caval vein (SVC)
Diagnosis,IPCCC,040125,Left superior caval vein (SVC)
Diagnosis,IPCCC,040200,Hepatic vein abnormality
Diagnosis,IPCCC,040213,"Anomalous hepatic venous connection to heart,"
Diagnosis,IPCCC,040300,Inferior caval vein (IVC) abnormality
Diagnosis,IPCCC,040308,Congenital anomaly of the inferior caval vein (IVC)
Diagnosis,IPCCC,040310,Interrupted inferior caval vein (IVC) with absent suprarenal segment and azygos continuation
Diagnosis,IPCCC,040400,Coronary sinus abnormality
Diagnosis,IPCCC,040405,Congenital anomaly of coronary sinus
Diagnosis,IPCCC,040413,Unroofed coronary sinus
Diagnosis,IPCCC,040414,Coronary sinus orifice atresia or stenosis
Diagnosis,IPCCC,040500,Congenital anomaly of systemic vein(s)
Diagnosis,IPCCC,040600,Total anomalous pulmonary venous connection of the supracardiac type
Diagnosis,IPCCC,040701,Partial anomalous pulmonary venous connection(s)
